doc_id,filename,Texto,label
15,cd05,"whereupon Parker broke down into convulsions of weeping and rushed out of the room , though not out of the Fellowship .",religion
16,cd05,"In the hall , after adjournment , Dr. Frothingham took him warmly by the hand and requested Parker to visit him -- whereupon our burly Theodore again burst into tears .",religion
17,cd05,"All this near tragedy , which to us borders on comedy , enables us to tell the story over and over again , always warming ourselves with a glow of complacency .",religion
18,cd05,"It was indeed a near thing , but somehow the inherent decency of New England ( which we inherit ) did triumph .",religion
19,cd05,Parker was never excommunicated .,religion
20,cd05,"To the extent that he was ostracized or even reviled , we solace ourselves by saying he asked for it .",religion
21,cd05,"Yet , even after all these stratagems , the conscience of Christian liberality is still not laid to rest , any more than is the conscience of Harvard University for having done the abject penance for its rejection of Ralph Waldo Emerson's The Divinity School Address of naming its hall of philosophy after him .",religion
22,cd05,"In both cases the stubborn fact remains : liberalism gave birth to two brilliant apostates , both legitimate offspring of its loins , and when brought to the test , it behaved shabbily .",religion
23,cd05,Suppose they both had ventured into realms which their colleagues thought infidel : is this the way gentlemen settle frank differences of opinion ? ?,religion
24,cd05,Is it after all possible that no matter how the liberals trumpet their confidence in human dignity they are exposed to a contagion of fear more insidious than any conservative has ever to worry about ? ?,religion
25,cd05,"However , there is a crucial difference between the two histories .",religion
26,cd05,"Emerson evaded the problem by shoving it aside , or rather by leaving it behind him : he walked out of the Unitarian communion , so that it could lick the wound of his departure , preserve its self-respect and eventually accord him pious veneration .",religion
27,cd05,"Parker insisted upon not resigning , even when the majority wanted him to depart , upon daring the Fellowship to throw him out .",religion
28,cd05,"Hence he was in his lifetime , as is the memory of him afterwards , a canker within the liberal sensitivity .",religion
29,cd05,"He still points an accusing finger at all of us , telling us we have neither the courage to support him nor the energy to cut his throat .",religion
30,cd05,"Actually , the dispute between Parker and the society of his time , both ecclesiastical and social , was a real one , a bitter one .",religion
31,cd05,It cannot be smoothed over by now cherishing his sarcasms as delightful bits of self-deprecation or by solemnly calling for a reconsideration of the justice of the objections to him .,religion
32,cd05,"The fact is incontestable : that liberal world of Unitarian Boston was narrow-minded , intellectually sterile , smug , afraid of the logical consequences of its own mild ventures into iconoclasm , and quite prepared to resort to hysterical repressions when its brittle foundations were threatened .",religion
33,cd05,"Parker , along with Garrison and Charles Sumner , showed a magnificent moral bravery when facing mobs mobilized in defense of the Mexican War and slavery .",religion
34,cd05,"Nevertheless , we can find reasons for respecting even the bigotry of the populace ; ;",religion
35,cd05,"their passions were genuine , and the division between them and the abolitionists is clear-cut .",religion
36,cd05,"But Parker as the ultra-liberal minister within the pale of a church which had proclaimed itself the repository of liberality poses a different problem , which is not to be resolved by holding him up as the champion of freedom .",religion
37,cd05,"Even though his theological theses have become , to us , commonplaces , the fundamental interrogation he phrased is very much with us .",religion
38,cd05,"It has been endlessly rephrased , but I may here put it thus : at what point do the tolerant find themselves obliged to become intolerant ? ?",religion
39,cd05,"And then , as they become aware that they have reached the end of their patience , what do they , to their dismay , learn for the first time about themselves ? ?",religion
40,cd05,"There can be no doubt , the Boston of that era could be exquisitely cruel in enforcing its canons of behavior .",religion
41,cd05,"The gentle Channing , revered by all Bostonians , orthodox or Unitarian , wrote to a friend in Louisville that among its many virtues Boston did not abound in a tolerant spirit , that the yoke of opinion crushed individuality of judgment and action : `` No city in the world is governed so little by a police , and so much by mutual inspections and what is called public sentiment .",religion
42,cd05,We stand more in awe of one another than most people .,religion
43,cd05,"Opinion is less individual or runs more into masses , and often rules with a rod of iron '' .",religion
44,cd05,"Even more poignantly , and with the insight of a genius , Channing added -- remember , this is Channing , not Parker ! !",religion
45,cd05,"-- that should a minister in Boston trust himself to his heart , should he `` speak without book , and consequently break some law of speech , or be hurried into some daring hyperbole , he should find little mercy '' .",religion
46,cd05,Channing wrote this -- in a letter ! !,religion
47,cd05,I think it fair to say that he never quite reached such candor in his sermons .,religion
48,cd05,"But Theodore Parker , commencing his mission to the world-at-large , disguised as the minister of a `` twenty-eighth Congregational Church '' which bore no resemblance to the Congregational polities descended from the founders ( among which were still the Unitarian churches ) , made explicit from the beginning that the conflict between him and the Hunkerish society was not something which could be evaporated into a genteel difference about clerical decorum .",religion
49,cd05,Because he spoke openly with what Channing had prophesied someone might -- with daring hyperbole -- Parker vindicated Channing's further prophecy that he who committed this infraction of taste would promptly discover how little mercy liberals were disposed to allow to libertarians who appeared to them libertines .,religion
50,cd05,"An institutionalized liberalism proved itself fundamentally an institution , and only within those defined limits a license .",religion
51,cd05,"By reminding ourselves of these factors in the situation , we should , I am sure , come to a fresh realization , however painful it be , that the battle between Parker and his neighbors was fought in earnest .",religion
52,cd05,"He arraigned the citizens in language of so little courtesy that they had to respond with , at the least , resentment .",religion
53,cd05,"What otherwise could `` the lawyer , doctor , minister , the men of science and letters '' do when told that they had `` become the cherubim and seraphim and the three archangels who stood before the golden throne of the merchant , and continually cried , ' Holy , holy , holy is the Almighty Dollar ' `` ? ?",religion
54,cd05,"Nor , when we recollect how sensitive were the emotions of the old Puritan stock in regard to the recent tides of immigration , should we be astonished that their thin lips were compressed into a white line of rage as Parker snarled at them thus : `` Talk about the Catholics voting as the bishop tells ! !",religion
55,cd05,Reproach the Catholics for it ! !,religion
56,cd05,You and I do the same thing .,religion
57,cd05,"There are a great many bishops who have never had a cross on their bosom , nor a mitre on their head , who appeal not to the authority of the Pope at Rome , but to the Almighty Dollar , a pope much nearer home .",religion
58,cd05,"Boston has been controlled by a few capitalists , lawyers and other managers , who told the editors what to say and the preachers what to think '' .",religion
59,cd05,This was war .,religion
60,cd05,Parker meant business .,religion
61,cd05,"And he took repeated care to let his colleagues know that he intended them : `` Even the Unitarian churches have caught the malaria , and are worse than those who deceived them '' -- which implied that they were very bad indeed .",religion
62,cd05,"It was `` Duty '' he said that his parents had given him as a rule -- beyond even the love that suffused his being and the sense of humor with which he was largely supplied -- and it was duty he would perform , though it cost him acute pain and exhausted him by the age of fifty .",religion
63,cd05,Parker could weep -- and he wept astonishingly often and on the slightest provocation -- but the psychology of those tears was entirely compatible with a remorseless readiness to massacre his opponents .,religion
64,cd05,"`` If it gave me pleasure to say hard things '' , he wrote , `` I would shut up forever '' .",religion
65,cd05,"We have to tell ourselves that when Parker spoke in this vein , he believed what he said , because he could continue , `` But the truth , which cost me bitter tears to say , I must speak , though it cost other tears hotter than fire '' .",religion
66,cd05,"Because he copiously shed his own tears , and yielded himself up as a living sacrifice to the impersonalized conscience of New England , he was not disturbed by the havoc he worked in other people's consciences .",religion
67,cd05,"Our endeavor to capture even a faint sense of how strenuous was the fight is muffled by our indifference to the very issue which in the Boston of 1848 seemed to be the central hope of its Christian survival , that of the literal , factual historicity of the miracles as reported in the Four Gospels .",religion
68,cd05,"It is idle to ask why we are no longer disturbed if somebody , professing the deepest piety , decides anew that it is of no importance whether or not Christ transformed the water into wine at eleven A.M. on the third of August , A.D. 32 .",religion
69,cd05,We have no answer as to why we are not alarmed .,religion
70,cd05,"So we are the more prepared to give Parker the credit for having taken the right side in an unnecessary controversy , to salute his courage , and to pass on , happily forgetting both him and the entire episode .",religion
71,cd05,"We have not the leisure , or the patience , or the skill , to comprehend what was working in the mind and heart of a then recent graduate from the Harvard Divinity School who would muster the audacity to contradict his most formidable instructor , the majesterial Andrews Norton , by saying that , while he believed Jesus `` like other religious teachers '' , worked miracles , `` I see not how a miracle proves a doctrine '' .",religion
72,cf37,The missionary obligation to proclaim the gospel to all the world was once left to zealous individuals and voluntary societies .,lore
73,cf37,But the time came when a church that had no part in the missionary movement was looked upon as deficient in its essential life .,lore
74,cf37,"The Christian education of children , too , was once hardly more than a sideshow , but the day came when a congregation that did not assume full oversight of a church school was thought of as failing in its duty .",lore
75,cf37,The most serious weakness of the ecumenical movement today is that it is generally regarded as the responsibility of a few national leaders in each denomination and a few interdenominational executives .,lore
76,cf37,"Most pastors and laymen , even though they believe it to be important , assume that the ecumenical movement lies outside the province of their parishes .",lore
77,cf37,"They may even dismiss it from their minds as something that concerns only the `` ecclesiastical Rover Boys '' , as someone has dubbed them , who like to go to national and international assemblies , and have expense accounts that permit them to do so .",lore
78,cf37,"As long as this point of view prevails , the ecumenical movement will be lame and halt .",lore
79,cf37,The next stage ahead is that of making it thoroughly at home in the local community .,lore
80,cf37,"Progress will take place far less through what is done in any `` summit conference '' of the National Council or the World Council , or even in offices of the denominational boards , than through what happens in the communities where Christian people live together as neighbors .",lore
81,cf37,The front line of advance is where witnessing and worshiping congregations of different traditions exist side by side .,lore
82,cf37,"Until they see the ecumenical movement in terms of the difference it makes in their own attitudes , programs , and relationships , it will have an inevitable aspect of unreality .",lore
83,cf37,"As things now stand , there is a grievous disparity between the unity in Christ which we profess in ecumenical meetings and the complacent separateness of most congregations on any Main Street in the nation .",lore
84,cf37,The ecumenical congregation,lore
85,cf37,The crux of ecumenical advance is an even more personalized matter than the relation between congregations in the same community .,lore
86,cf37,"The decisive question is what happens within each congregation and , finally , in the minds and hearts of the individual members .",lore
87,cf37,It is here that the local and ecumenical must meet .,lore
88,cf37,It is here that the ecumenical must become local and the local become ecumenical .,lore
89,cf37,It has become almost trite to say that the ecumenical movement must be `` carried down to the grass roots '' .,lore
90,cf37,This way of describing the matter is unfortunate .,lore
91,cf37,It implies two misconceptions .,lore
92,cf37,One is that whatever is ecumenical has to do with some over-all organization at `` the top '' and needs only to be understood at the so-called `` lower levels '' .,lore
93,cf37,"The truth , however , is that the ecumenical church is just the local church in its own true character as an integral unit of the whole People of God throughout the world .",lore
94,cf37,"The other misconception is that our ecumenical problems will be solved if only the knowledge of the church in its world-wide extension and its interdenominational connections , now comprehended by many national leaders , can be communicated to all congregations .",lore
95,cf37,"However needed this may be , the fundamental problem is not information but active commitment to the total mission of the church of Christ in the world .",lore
96,cf37,"The basic unit in the church , of whatever denominational polity , is always the congregation .",lore
97,cf37,It is hardly possible to emphasize this too much .,lore
98,cf37,"Most people do not realize that the congregation , as a gathered fellowship meeting regularly face to face , personally sharing in a common experience and expressing that experience in daily relationships with one another , is unique .",lore
99,cf37,The idea that it is a feature of all religions is entirely mistaken .,lore
100,cf37,"The Jewish synagogue affords a parallel to the Christian congregation , but Hinduism , Buddhism , Islam , Confucianism , Taoism , Shintoism , although they have sacred scriptures , priests , spiritual disciplines , and places of prayer , do not have a congregation as a local household of faith and love .",lore
101,cf37,Their characteristic experience is that of the individual at an altar or a shrine rather than that of a continuing social group with a distinctive kind of fellowship .,lore
102,cf37,How far the fellowship in most local churches falls below what the New Testament means by koinonia ! !,lore
103,cf37,What is now called Christian fellowship is often little more than the social chumminess of having a gracious time with the kind of people one likes .,lore
104,cf37,The koinonia of Acts and of the Epistles means sharing in a common relation to Christ .,lore
105,cf37,It is an experience of a new depth of community derived from an awareness of the corporate indwelling of Christ in His people .,lore
106,cf37,"As Dietrich Bonhoffer puts it , `` Our community with one another consists solely in what Christ has done to both of us '' .",lore
107,cf37,"This may mean having fellowship in the church with people with whom , on the level of merely human agreeableness , we might prefer not to have any association at all .",lore
108,cf37,There is a vast difference between the community of reconciliation which the New Testament describes and the community of congeniality found in the average church building .,lore
109,cf37,"Whenever a congregation really sees itself as a unit in the universal Church , in vital relation with the whole Body of Christ and participating in His mission to the world , a necessary foundation-stone of the ecumenical movement has been laid .",lore
110,cf37,The antithesis of the ecumenical and the local then no longer exists .,lore
111,cf37,The local and the ecumenical are one .,lore
112,cf37,"Of course , the perspective of those who are dealing directly with the world-wide problems of the People of God will always be different from the perspective of those who are dealing with the nearby problems of particular persons in a particular place .",lore
113,cf37,Each viewpoint is valid if it is organically related to the other .,lore
114,cf37,Neither is adequate if it stands alone .,lore
115,cf37,Our difficulty arises when either viewpoint shuts out the other .,lore
116,cf37,And this is what all too often happens .,lore
117,cf37,Divergent perspectives,lore
118,cf37,A little parable illustrative of this truth is afforded by an incident related by Professor Bela Vasady at the end of the Second World War .,lore
119,cf37,With great difficulty he made his way from his native Hungary to Geneva to renew his contacts as a member of the Provisional Committee for the World Council of Churches .,lore
120,cf37,"When he had the mishap of breaking his spectacles , his ecumenical colleagues insisted on providing him with new ones .",lore
121,cf37,They were bifocals .,lore
122,cf37,He often spoke of them as his `` ecumenical '' glasses and used them as a symbol of the kind of vision that is required in the church .,lore
123,cf37,"It is , he said , a bifocal vision , which can see both the near-at-hand and the distant and keep a Christian in right relation to both .",lore
124,cf37,"As things stand now , the local and the ecumenical tend to compete with each other .",lore
125,cf37,"On the one hand , there are ecumenists who are so stirred by the crises of the church in its encounter with the world at large that they have no eyes for what the church is doing in their own town .",lore
126,cf37,They do not escape the pitfall into which Charles Dickens pictured Mrs. Jellyby as falling .,lore
127,cf37,Her concern for the natives of Borrioboola-Gha was so intense that she quite forgot and neglected her son Peepy ! !,lore
128,cf37,"Likewise , the ecumenist may become so absorbed in the conflict of the church with the totalitarian state in East Germany , the precarious situation of the church in revolutionary China , and the anguish of the church over apartheid in South Africa that he loses close contact with the parish church in its unspectacular but indispensable ministry of worship , pastoral service and counseling , and Christian nurture for a face-to-face group of individuals .",lore
129,cf37,"On the other hand , many a pastor is so absorbed in ministering to the intimate , personal needs of individuals in his congregation that he does little or nothing to lead them into a sense of social responsibility and world mission .",lore
130,cf37,"As a result , they go on thinking of the church , with introverted and self-centered satisfaction , only in connection with the way in which it serves them and their families .",lore
131,cf37,It would hardly be an exaggeration to say that ninety per cent of the energy of most churches -- whether in terms of finance or spiritual concern -- is poured into the private and domestic interests of the members .,lore
132,cf37,The parish lives for itself rather than for the community or the world .,lore
133,cf37,The gap between the ecumenical perspective and the parish perspective appears most starkly in a church in any of our comfortable suburbs .,lore
134,cf37,It is eminently successful according to all conventional standards .,lore
135,cf37,It is growing in numbers .,lore
136,cf37,Its people are agreeable friends .,lore
137,cf37,It has a beautiful edifice .,lore
138,cf37,Its preaching and its music give refreshment of spirit to men and women living under heavy strain .,lore
139,cf37,It provides pastoral care for the sick and troubled .,lore
140,cf37,It helps children grow up with at least a nodding acquaintance with the Bible .,lore
141,cf37,It draws young people into the circle of those who continue the life of the church from generation to generation .,lore
142,cf37,And it is easy for the ecumenical enthusiast to lose sight of how basic all this is .,lore
143,cf37,But what is this church doing to help its members understand their roles as Christians in the world ? ?,lore
144,cf37,All too often its conception of parish ministry and pastoral care includes no responsibility for them in their relation to issues of the most desperate urgency for the life of mankind .,lore
145,cf37,It is not stirring them to confront the racial tensions of today with the mind of Christ .,lore
146,cf37,It is not helping them face the moral crisis involved in the use of nuclear energy .,lore
147,cf37,It is not making them sensitive to the sub-Christian level of much of our economic and industrial life .,lore
148,cf37,It is raising no disturbing question as to what Christian stewardship means for the relationship of the richest nation in the world to economically underdeveloped peoples .,lore
149,cf37,It is not developing an awareness of the new kind of missionary strategy that is called for as young churches emerge in Asia and Africa .,lore
150,cf37,"To put it bluntly , many a local church is giving its members only what they consciously want .",lore
151,cf37,It is not disturbing them by thoughts of their Christian responsibility in relation to the world .,lore
152,cf37,We shall not make a decisive advance in the ecumenical movement until such a church begins to see itself not merely as a haven of comfort and peace but as a base of Christian witness and mission to the world .,lore
153,cf37,There is a humorous but revealing story about a rancher who owned a large slice of Texas and who wanted to have on it everything that was necessary for a completely pleasant community .,lore
154,cf37,"He built a school and a library , then a recreation center and an inn .",lore
155,cf37,"Desiring to fill the only remaining lack , he selected the best site on the ranch for a chapel and spared no expense in erecting it .",lore
156,cf37,"A visitor to the beautiful little building inquired , `` Do you belong to this church , Mr. Rancher '' ? ?",lore
157,cf37,"`` Why , no , ma'am '' , he replied , `` this church belongs to me '' ! !",lore
158,cf37,The story reflects the way too many people feel .,lore
159,cf37,"As long as the congregation regards the church as `` our '' church , or the minister thinks of it as `` my '' church , just so long the ecumenical movement will make no significant advance .",lore
160,cf37,"There must first be a deeper sense that the church belongs not to us but to Christ , and that it is His purpose , not our own interests and preferences , that determines what it is to be and do .",lore
161,cf37,Local embodiment of the whole,lore
162,cf37,"A local church which conceives its function to be entirely that of ministering to the conscious desires and concerns of its members tends to look on everything ecumenical as an extra , not as a normal aspect of its own life as a church .",lore
163,cf37,It would doubtless be greatly surprised to be told that in failing to be ecumenical it is really failing to be the Church of Christ .,lore
164,cf37,"Yet the truth , according to the New Testament , is that every local church has its existence only by being the embodiment of the whole church in that particular place .",lore
165,cj50,"Unfortunately , however , and for reasons to be discussed in the following chapter , no rate relationships can be made completely nondiscriminatory as long as all or some of the rates must be set above marginal costs in order to yield adequate revenues .",learned
166,cj50,And this fact may explain some of the disagreements among the experts as to the more rational formulas for the apportionment of total costs among different units of service .,learned
167,cj50,"One such disagreement , which will receive attention in this next chapter , concerns the question whether rates for different kinds of service , in order to avoid the attribute of discrimination , must be made directly proportional to marginal costs , or whether they should be based instead on differences in marginal costs .",learned
168,cj50,"Here , the choice is that between the horns of a dilemma .",learned
169,cj50,Two major types of fully distributed cost analysis,learned
170,cj50,1 .,learned
171,cj50,The double-step type,learned
172,cj50,"Despite an ambiguity due to its failure clearly to define `` relative costs '' , the above exposition of fully distributed costing goes about as far as one can go toward expressing the basic philosophy of the practice .",learned
173,cj50,"For more explicit expositions , one must distinguish different types of analyses .",learned
174,cj50,"By all means the most important distinction is that between those total-cost apportionments which superimpose a distribution of admittedly unallocable cost residues on estimates of incremental or marginal costs , and those other apportionments which recognize no difference between true cost allocation and mere total-cost distribution .",learned
175,cj50,"The first , or double-step , type might also be called the `` railroad type '' because of its application to railroads ( and other transportation agencies ) by the Cost Section of the Interstate Commerce Commission .",learned
176,cj50,The Cost Section distinguishes between ( directly ) variable costs and constant costs in a manner noted in the preceding chapter .,learned
177,cj50,The variable costs alone are assigned to the different units of freight traffic as representing `` long-run out-of-pocket costs '' -- a term with a meaning here not distinctly different from that of the economist's `` long-run marginal costs '' .,learned
178,cj50,"There remains a residue of total costs , or total `` revenue requirements '' which , since it is found to behave as if it were constant over substantial variations in traffic density , is strictly unallocable on a cost-finding basis .",learned
179,cj50,"Nevertheless , because the Cost Section has felt impelled to make some kind of a distribution of total costs , it has apportioned this residue , which it sometimes calls `` burden '' , among the units of carload traffic on a basis ( partly ton , partly ton-mile ) which is concededly quite arbitrary from the standpoint of cost determination .",learned
180,cj50,"In recent years , this burden ( which includes allowances for revenue deficiencies in the passenger business and in less-than-carload freight traffic ! !",learned
181,cj50,) has amounted to about one third of those total revenue requirements which the carload freight business is supposed to be called upon to meet .,learned
182,cj50,"Since this book is concerned only incidentally with railroad rates , it will not attempt to analyze the methods by which the staff of the Interstate Commerce Commission has estimated out-of-pocket costs and apportioned residue costs .",learned
183,cj50,Suffice it to say that the usefulness of the latter apportionment is questionable .,learned
184,cj50,"But in any event , full credit should be given to the Cost Section for its express and overt recognition of a vital distinction too often ignored in utility-cost analyses : namely , that between a cost allocation designed to reflect the actual behavior of costs in response to changes in rates of output of different classes of utility service ; ;",learned
185,cj50,and a mere cost apportionment which somehow spreads among the classes and units of service even those costs that are strictly unallocable from the standpoint of specific cost determination .,learned
186,cj50,2 .,learned
187,cj50,The single-step type,learned
188,cj50,"We turn now to a type of fully distributed cost analysis which , unlike the `` railroad type '' , draws no distinction between cost allocation and cost apportionment : the single-step type .",learned
189,cj50,It might be called the `` public utility '' type because of the considerable use to which it has been put in gas and electric utility rate cases .,learned
190,cj50,"Here no attempt is made , first to determine out-of-pocket or marginal costs and then to superimpose on these costs `` reasonably distributed '' residues of total costs .",learned
191,cj50,"Instead , all of the total costs are treated as variable costs , although these costs are divided into costs that are deemed to be functions of different variables .",learned
192,cj50,"Moreover , whereas in Interstate Commerce Commission parlance `` variable cost '' means a cost deemed to vary in direct proportion to changes in rate of output , in the type of analysis now under review `` variable cost '' has been used more broadly , so as to cover costs which , while a function of some one variable ( such as output of energy , or number of customers ) , are not necessarily a linear function .",learned
193,cj50,"As already noted in an earlier paragraph , the more familiar cost analyses of utility enterprises or utility systems divide the total costs among a number of major classes of service , such as residential , commercial , industrial power , street lighting , etc. .",learned
194,cj50,"This `` grand division '' permits many costs to be assigned in their entirety to some one class , such as street lighting , or at least to be excluded completely from some important class or classes .",learned
195,cj50,"High-tension industrial power service , for example , would not be charged with any share of the maintenance costs or capital costs of the low-tension distribution lines .",learned
196,cj50,"But the major portions of the total costs of a utility business are common or joint to all , or nearly all , classes of customers ; ;",learned
197,cj50,and these costs must somehow be apportioned among the various classes and then must somehow be reapportioned among the units of service in order to report unit costs that can serve as tentative measures of reasonable rates .,learned
198,cj50,The general basis on which these common costs are assigned to differently measured units of service will be illustrated by the following highly simplified problem of an electric-utility cost analysis .,learned
199,cj50,"But before turning to this example , we must distinguish two subtypes of analysis , both of which belong to the single-step type rather than to the double-step type .",learned
200,cj50,"In the first subtype , the analyst ( following the practice of railroad analysis in this particular respect ) distributes both total operating costs and total annual capital costs ( including an allowance for `` cost of capital '' or `` fair rate of return '' ) among the different classes and units of service .",learned
201,cj50,"Here , an apportionment , say , of $5,000,000 of the total costs to residential service as a class would include an allowance of perhaps 6 per cent as the cost of whatever capital is deemed to have been devoted to the service of the residential consumers .",learned
202,cj50,"But in the second subtype , which I take to be the one more frequently applied , only the operating expenses and not the `` cost of capital '' or `` fair return '' are apportioned directly among the various classes of service .",learned
203,cj50,"To be sure , the capital investments in ( or , alternatively , the estimated `` fair values '' of ) the plant and equipment are apportioned among the different classes , as are also the gross revenues received from the sales of the different services .",learned
204,cj50,But any resulting excess of revenues received from a given class of service over the operating costs imputed to this class is reported as a `` return '' realized on the capital investment attributed to the same service .,learned
205,cj50,"Thus , during any given year ( A ) if the revenues from the residential service are $7,000,000 , ( B ) if the operating expenses imputed to this class of service come to $5,000,000 , and ( C ) if the net investment in ( or value of ) the plant and equipment deemed devoted to this service amounts to $30,000,000 , the cost analyst will report that residential service , in the aggregate , has yielded a return of $2,000,000 or 6-2 per cent .",learned
206,cj50,"Other services will show different rates of return , some probably much lower and some higher .",learned
207,cj50,"There are obvious reasons of convenience for this practice of excluding `` cost of capital '' from the direct apportionment of annual costs among the different classes of service -- notably , the avoidance of the controversial question what rate of return should be held to constitute `` cost of capital '' or `` fair rate of return '' .",learned
208,cj50,"But the practice is likely to be misleading , since it may seem to support a conclusion that , as long as the revenues from any class of service cover the imputed operating expenses plus some return on capital investment , however low , the rates of charge for this service are compensatory .",learned
209,cj50,"Needless to say , any such inference would be quite unwarranted .",learned
210,cj50,"For the reason just suggested , I shall assume the use of the first subtype of fully distributed cost apportionment in the following simplified example .",learned
211,cj50,"That is to say , an allowance for `` cost of capital '' will be assumed to be included directly in the cost apportionment .",learned
212,cj50,Three-part analysis of the costs of an electric utility business,learned
213,cj50,"In order to simplify the exposition of a typical fully apportioned cost analysis , let us assume the application of the analysis to an electric utility company supplying a single city with power generated by its own steam-generation plant .",learned
214,cj50,"Let us also assume the existence of only one class or type of service , all of which is supplied at the same voltage , phase , etc. to residential , commercial , and industrial customers .",learned
215,cj50,This latter assumption will permit us to center attention on the most controversial aspect of modern public utility cost analysis -- the distinction among costs that are functions of outputs of the same service measured along different dimensions .,learned
216,cj50,"Since the company under review is supplying what we are here regarding as only one kind of service , we might suppose that the problem of total cost apportionment would be very simple ; ;",learned
217,cj50,"indeed , that it would be limited to a finding of the total annual operating and capital costs of the business , followed by a calculation of this total in terms of annual cost per kilowatt-hour of consumption .",learned
218,cj50,"In fact , however , the problem is not so simple .",learned
219,cj50,For a statement of costs per kilowatt-hour would ignore the fact that many of these costs are not a function of kilowatt-hour output ( or consumption ) of energy .,learned
220,cj50,A recognition of multiple cost functions is therefore required .,learned
221,cj50,"The simplest division , and the one most frequently used ( with subdivisions ) in gas and electric rate cases , is a threefold division of the total operating and capital costs into `` customer costs '' , `` energy '' or `` volumetric costs '' , and `` demand '' or `` capacity '' costs .",learned
222,cj50,"If this threefold division of costs were to have its counterpart in the actual rates of charge for service , as it actually does have in some rates , there would result a three-part rate for any one class of service .",learned
223,cj50,"For example , the monthly bill of a residential consumer might be the sum of a $1 customer charge , a $5 charge for 250 kilowatt-hours of energy at",learned
224,cj50,"per kilowatt-hour , and a $2 charge for a maximum demand of 2 kilowatts during the month at the rate of $1 per kilowatt -- a total bill of $8 for that month .",learned
225,cj50,"But our present interest lies in the measurement of costs of service , and only indirectly in rates that may or may not be designed to cover these costs .",learned
226,cj50,"Let us therefore consider each of the three types of cost in turn , recognizing that this simplified classification is used only for illustrative purposes ; ;",learned
227,cj50,costs actually vary in much more complex ways .,learned
228,cj50,1 .,learned
229,cj50,The customer costs,learned
230,cj50,"These are those operating and capital costs found to vary with number of customers regardless , or almost regardless , of power consumption .",learned
231,cj50,Included as a minimum are the costs of metering and billing along with whatever other expenses the company must incur in taking on another consumer .,learned
232,cj50,"These minimum costs may come to $1 per month , more or less , for residential and small commercial customers , although they are substantially higher for large industrial users , who require more costly connections and metering devices .",learned
233,cj50,"While costs on this order are sometimes separately charged for in residential and commercial rates , in the form of a mere `` service charge '' , they are more frequently wholly or partly covered by a minimum charge which entitles the consumer to a very small amount of gas or electricity with no further payment .",learned
234,cj50,"But the really controversial aspect of customer-cost imputation arises because of the cost analyst's frequent practice of including , not just those costs that can be definitely earmarked as incurred for the benefit of specific customers but also a substantial fraction of the annual maintenance and capital costs of the secondary ( low-voltage ) distribution system -- a fraction equal to the estimated annual costs of a hypothetical system of minimum capacity .",learned
235,cf08,"In tradition and in poetry , the marriage bed is a place of unity and harmony .",lore
236,cf08,"The partners each bring to it unselfish love , and each takes away an equal share of pleasure and joy .",lore
