@relation Mall_Customers_clustered

@attribute Instance_number numeric
@attribute CustomerID numeric
@attribute Gender {Male,Female}
@attribute Age numeric
@attribute 'Annual Income (k$)' numeric
@attribute 'Spending Score (1-100)' numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
133,134,Female,31,72,71,cluster3
134,135,Male,20,73,5,cluster1
135,136,Female,29,73,88,cluster3
136,137,Female,44,73,7,cluster3
137,138,Male,32,73,73,cluster1
138,139,Male,19,74,10,cluster1
139,140,Female,35,74,72,cluster3
140,141,Female,57,75,5,cluster3
141,142,Male,32,75,93,cluster1
142,143,Female,28,76,40,cluster3
143,144,Female,32,76,87,cluster3
144,145,Male,25,77,12,cluster1
145,146,Male,28,77,97,cluster1
146,147,Male,48,77,36,cluster1
147,148,Female,32,77,74,cluster3
148,149,Female,34,78,22,cluster3
149,150,Male,34,78,90,cluster1
150,151,Male,43,78,17,cluster1
151,152,Male,39,78,88,cluster1
152,153,Female,44,78,20,cluster3
153,154,Female,38,78,76,cluster3
154,155,Female,47,78,16,cluster3
155,156,Female,27,78,89,cluster3
156,157,Male,37,78,1,cluster1
157,158,Female,30,78,78,cluster3
158,159,Male,34,78,1,cluster1
159,160,Female,30,78,73,cluster3
160,161,Female,56,79,35,cluster3
161,162,Female,29,79,83,cluster3
162,163,Male,19,81,5,cluster1
163,164,Female,31,81,93,cluster3
164,165,Male,50,85,26,cluster1
165,166,Female,36,85,75,cluster3
166,167,Male,42,86,20,cluster1
167,168,Female,33,86,95,cluster3
168,169,Female,36,87,27,cluster3
169,170,Male,32,87,63,cluster1
170,171,Male,40,87,13,cluster1
171,172,Male,28,87,75,cluster1
172,173,Male,36,87,10,cluster1
173,174,Male,36,87,92,cluster1
174,175,Female,52,88,13,cluster3
175,176,Female,30,88,86,cluster3
176,177,Male,58,88,15,cluster1
177,178,Male,27,88,69,cluster1
178,179,Male,59,93,14,cluster1
179,180,Male,35,93,90,cluster1
180,181,Female,37,97,32,cluster3
181,182,Female,32,97,86,cluster3
182,183,Male,46,98,15,cluster1
183,184,Female,29,98,88,cluster3
184,185,Female,41,99,39,cluster3
185,186,Male,30,99,97,cluster1
186,187,Female,54,101,24,cluster3
187,188,Male,28,101,68,cluster1
188,189,Female,41,103,17,cluster3
189,190,Female,36,103,85,cluster3
190,191,Female,34,103,23,cluster3
191,192,Female,32,103,69,cluster3
192,193,Male,33,113,8,cluster1
193,194,Female,38,113,91,cluster3
194,195,Female,47,120,16,cluster3
195,196,Female,35,120,79,cluster3
196,197,Female,45,126,28,cluster3
197,198,Male,32,126,74,cluster1
198,199,Male,32,137,18,cluster1
199,200,Male,30,137,83,cluster1
